Trial,Coreutils RSS (KB),Coreutils VSZ (KB),Uutils RSS (KB),Uutils VSZ (KB)
1, 3712,  7904, 4352,  8040
2, 4352,  8040, 4352,  8040
3, 4352,  8040, 4352,  8040
4, 4352,  8040, 4352,  8040
5, 4352,  8040, 4352,  8040
6, 4352,  8040, 4352,  8040
7, 4352,  8040, 4352,  8040
8, 4352,  8040, 4352,  8040
9, 4352,  8040, 4352,  8040
10, 4352,  8040, 4352,  8040
11, 4352,  8040, 4352,  8040
12, 4352,  8040, 4352,  8040
13, 4352,  8040, 4352,  8040
14, 4352,  8040, 4352,  8040
15, 4352,  8040, 4352,  8040
16, 4352,  8040, 4352,  8040
17, 4352,  8040, 4352,  8040
18, 4352,  8040, 4352,  8040
19, 4352,  8040, 4352,  8040
20, 4352,  8040, 4352,  8040
21, 4352,  8040, 4352,  8040
22, 4352,  8040, 4352,  8040
23, 4352,  8040, 4352,  8040
24, 4352,  8040, 4352,  8040
25, 4352,  8040, 4352,  8040
26, 4352,  8040, 4352,  8040
27, 4352,  8040, 4352,  8040
28, 4352,  8040, 4352,  8040
29, 4352,  8040, 4352,  8040
30, 4352,  8040, 4352,  8040
31, 4352,  8040, 4352,  8040
32, 4352,  8040, 4352,  8040
33, 4352,  8040, 4352,  8040
34, 4352,  8040, 4352,  8040
35, 4352,  8040, 4352,  8040
36, 4352,  8040, 4352,  8040
37, 4352,  8040, 4352,  8040
38, 4352,  8040, 4352,  8040
39, 4352,  8040, 4352,  8040
40, 4352,  8040, 4352,  8040
41, 4352,  8040, 4352,  8040
42, 4352,  8040, 4352,  8040
43, 4352,  8040, 4352,  8040
44, 4352,  8040, 4352,  8040
45, 4352,  8040, 4352,  8040
46, 4352,  8040, 4352,  8040
47, 4352,  8040, 4352,  8040
48, 4352,  8040, 4352,  8040
49, 4352,  8040, 4352,  8040
50, 4352,  8040, 4352,  8040
